No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
163,CITIMALL SUKABUMI,G,G-0270,15.77,Y,,0.00,0.00,,,,,,,
164,CITIMALL SUKABUMI,G,G-0275,14.81,Y,Full Rental,"325,000.00","106,000.00",22/Aug/2020,21/Aug/2021,22/Aug/2020,21/Aug/2021,24/Aug/2020,JANJI JIWA,JANJI JIWA
165,CITIMALL SUKABUMI,G,G-0280,35.00,Y,Full Rental,"121,428.57",0.00,14/Sep/2020,30/Nov/2020,14/Sep/2020,30/Nov/2020,14/Sep/2020,THE BODY SHOP,THE BODY SHOP
166,CITIMALL SUKABUMI,G,G-0290,0.00,Y,,0.00,0.00,,,,,,,
167,CITIMALL SUKABUMI,G,G-BAM01,26.84,N,,0.00,0.00,,,,,,,
168,CITIMALL SUKABUMI,G,G-BAM02,0.00,N,,0.00,0.00,,,,,,,
169,CITIMALL SUKABUMI,G,G-BIN01,280.00,N,,0.00,0.00,,,,,,,
170,CITIMALL SUKABUMI,G,G-BOH11,40.00,N,,0.00,0.00,,,,,,,
171,CITIMALL SUKABUMI,G,G-BOH12,44.00,N,,0.00,0.00,,,,,,,
172,CITIMALL SUKABUMI,G,G-BOH13,29.00,N,,0.00,0.00,,,,,,,
173,CITIMALL SUKABUMI,G,G-COM,"1,812.42",N,,0.00,0.00,,,,,,,
174,CITIMALL SUKABUMI,G,G-CVT01,21.00,N,,0.00,0.00,,,,,,,
175,CITIMALL SUKABUMI,G,G-CVT02,11.00,N,,0.00,0.00,,,,,,,
176,CITIMALL SUKABUMI,G,G-CVT03,21.00,N,,0.00,0.00,,,,,,,
177,CITIMALL SUKABUMI,G,G-CVT04,21.00,N,,0.00,0.00,,,,,,,
178,CITIMALL SUKABUMI,G,G-CVT05,9.00,N,,0.00,0.00,,,,,,,
179,CITIMALL SUKABUMI,G,G-MEP01,96.00,N,,0.00,0.00,,,,,,,
180,CITIMALL SUKABUMI,G,G-MEP02,27.00,N,,0.00,0.00,,,,,,,
181,CITIMALL SUKABUMI,G,G-MEP03,46.00,N,,0.00,0.00,,,,,,,
182,CITIMALL SUKABUMI,G,G-MEP04,47.00,N,,0.00,0.00,,,,,,,
183,CITIMALL SUKABUMI,G,G-MEP05,16.00,N,,0.00,0.00,,,,,,,
184,CITIMALL SUKABUMI,G,G-OBH01,28.00,N,,0.00,0.00,,,,,,,
185,CITIMALL SUKABUMI,G,G-OBH11,28.00,N,Combine,"1,428,571.43",0.00,01/Nov/2016,31/Oct/2021,01/Nov/2016,31/Oct/2021,01/Nov/2016,QUALITY PARKING,CITRA PUSAKA MANDIRI PARKING
186,CITIMALL SUKABUMI,G,G-OME01,49.00,N,,0.00,0.00,,,,,,,
187,CITIMALL SUKABUMI,G,G-OTM01,2.71,N,Full Rental,"1,845,018.45",0.00,20/Jan/2019,19/Jan/2022,20/Jan/2019,19/Jan/2022,20/Jan/2019,BANK BTN,BANK BTN
188,CITIMALL SUKABUMI,G,G-OTM02,1.00,N,Full Rental,"2,958,333.33","250,000.00",11/Jun/2020,10/Jun/2022,11/Jun/2020,10/Jun/2022,11/Jun/2020,ATM OCBC,BANK OCBC NISP
189,CITIMALL SUKABUMI,G,G-OTM03,2.71,N,Full Rental,"1,599,015.99",0.00,20/Mar/2019,19/Mar/2022,20/Mar/2019,19/Mar/2022,20/Mar/2019,ATM PANIN,BANK PANIN
190,CITIMALL SUKABUMI,G,G-OTM04,2.71,N,Full Rental,"1,153,136.53",0.00,01/Dec/2017,30/Nov/2020,01/Dec/2017,30/Nov/2020,01/Dec/2017,BANK MANDIRI,BANK MANDIRI
191,CITIMALL SUKABUMI,G,G-OTM05,3.80,N,,0.00,0.00,,,,,,,
192,CITIMALL SUKABUMI,G,G-OTM06,1.00,N,Full Rental,"4,812,500.00",0.00,15/Sep/2020,14/Sep/2023,15/Sep/2020,14/Sep/2023,15/Sep/2020,PT. BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN,BANK BJB
193,CITIMALL SUKABUMI,G,G-PLL01,25.00,N,,0.00,0.00,,,,,,,
194,CITIMALL SUKABUMI,G,G-PRK01,"1,542.00",N,,0.00,0.00,,,,,,,
195,CITIMALL SUKABUMI,G,G-PRK02,489.00,N,,0.00,0.00,,,,,,,
196,CITIMALL SUKABUMI,G,G-ROD01,808.88,N,,0.00,0.00,,,,,,,
197,CITIMALL SUKABUMI,G,G-STI-0001,2.00,N,,0.00,0.00,,,,,,,
198,CITIMALL SUKABUMI,G,G-STI-0002,2.00,N,,0.00,0.00,,,,,,,
199,CITIMALL SUKABUMI,G,G-STI-0003,7.30,N,,0.00,0.00,,,,,,,
200,CITIMALL SUKABUMI,G,G-STI-0004,7.30,N,,0.00,0.00,,,,,,,
201,CITIMALL SUKABUMI,G,G-STI-0005,7.30,N,,0.00,0.00,,,,,,,
202,CITIMALL SUKABUMI,G,G-STI-0006,7.30,N,,0.00,0.00,,,,,,,
203,CITIMALL SUKABUMI,G,G-STI-0007,7.30,N,,0.00,0.00,,,,,,,
204,CITIMALL SUKABUMI,G,G-STI-0008,7.30,N,,0.00,0.00,,,,,,,
205,CITIMALL SUKABUMI,G,G-STI-0009,7.30,N,,0.00,0.00,,,,,,,
206,CITIMALL SUKABUMI,G,G-STI-0010,7.30,N,,0.00,0.00,,,,,,,
207,CITIMALL SUKABUMI,G,G-UNL01,"1,427.00",N,,0.00,0.00,,,,,,,
208,CITIMALL SUKABUMI,1,1-0010,"1,589.97",Y,Full Rental,"40,000.00","20,630.00",19/Dec/2018,18/Dec/2028,19/Dec/2018,18/Dec/2028,19/Dec/2018,"PT. MATAHARI DEPARTMENT STORE, TBK",MATAHARI DEPARTMENT STORE
209,CITIMALL SUKABUMI,1,1-0011,0.00,Y,,0.00,0.00,,,,,,,
210,CITIMALL SUKABUMI,1,1-0012,0.00,Y,,0.00,0.00,,,,,,,
211,CITIMALL SUKABUMI,1,1-0130,0.00,Y,,0.00,0.00,,,,,,,
212,CITIMALL SUKABUMI,1,1-0140,0.00,Y,,0.00,0.00,,,,,,,
213,CITIMALL SUKABUMI,1,1-0150,25.00,Y,,0.00,0.00,,,,,,,
214,CITIMALL SUKABUMI,1,1-0170,56.33,Y,Full Rental,"225,000.00","102,000.00",31/Jul/2019,29/Aug/2022,30/Aug/2019,29/Aug/2022,31/Jul/2019,CITRA KIDS,CITRA KIDS
215,CITIMALL SUKABUMI,1,1-0180,0.00,Y,,0.00,0.00,,,,,,,
216,CITIMALL SUKABUMI,1,1-0190,0.00,Y,,0.00,0.00,,,,,,,
217,CITIMALL SUKABUMI,1,1-0200,117.36,Y,Full Rental,"120,000.00","102,000.00",04/Feb/2019,09/Mar/2024,10/Mar/2019,09/Mar/2024,04/Feb/2019,ALEEYA HIJAB,ALEEYA HIJAB
218,CITIMALL SUKABUMI,1,1-0210,0.00,Y,,0.00,0.00,,,,,,,
219,CITIMALL SUKABUMI,1,1-0220,0.00,Y,,0.00,0.00,,,,,,,
220,CITIMALL SUKABUMI,1,1-0230,0.00,Y,,0.00,0.00,,,,,,,
221,CITIMALL SUKABUMI,1,1-0231,24.91,Y,Full Rental,"60,000.00","50,000.00",04/Feb/2019,09/Mar/2024,10/Mar/2019,09/Mar/2024,04/Feb/2019,GUDANG ALEEYA HIJAB,GUDANG ALEEYA HIJAB
222,CITIMALL SUKABUMI,1,1-0233,0.00,Y,,0.00,0.00,,,,,,,
223,CITIMALL SUKABUMI,1,1-0236,31.44,Y,Full Rental,"220,000.00","102,000.00",04/May/2018,17/May/2021,18/May/2018,17/May/2021,04/May/2018,SHARK,SHARKS
224,CITIMALL SUKABUMI,1,1-0240,34.00,Y,Full Rental,"274,443.76",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,TRIE & DIE,TRIE AND DIE JEANS
225,CITIMALL SUKABUMI,1,1-0245,0.00,Y,,0.00,0.00,,,,,,,
226,CITIMALL SUKABUMI,1,1-0250,34.00,Y,Full Rental,"15,151.53",0.00,14/Sep/2020,30/Nov/2020,14/Sep/2020,30/Nov/2020,14/Sep/2020,THE BODY SHOP,GUDANG THE BODY SHOP
227,CITIMALL SUKABUMI,1,1-0260,0.00,Y,,0.00,0.00,,,,,,,
228,CITIMALL SUKABUMI,1,1-0270,0.00,Y,,0.00,0.00,,,,,,,
229,CITIMALL SUKABUMI,1,1-0271,259.20,Y,Full Rental,"200,000.00","102,000.00",03/Aug/2018,01/Sep/2021,02/Sep/2018,01/Sep/2021,03/Aug/2018,MINISO,MINISO
230,CITIMALL SUKABUMI,1,1-0280,106.33,Y,Full Rental,"175,000.00","102,000.00",21/Apr/2017,20/May/2021,21/Apr/2017,20/May/2021,21/Apr/2017,BUTI FASHION,BUTI FASHION
231,CITIMALL SUKABUMI,1,1-0290,145.02,Y,Full Rental,"175,000.00","102,000.00",26/May/2019,25/May/2021,26/May/2019,25/May/2021,26/May/2019,BUTI FASHION,BUTI FASHION
232,CITIMALL SUKABUMI,1,1-0300,85.88,Y,Full Rental,"180,000.00","102,000.00",19/Jan/2018,14/Mar/2023,15/Mar/2018,14/Mar/2023,19/Jan/2018,GALERI ELZATTA,GALERI ELZATTA
233,CITIMALL SUKABUMI,1,1-0310,0.00,Y,,0.00,0.00,,,,,,,
234,CITIMALL SUKABUMI,1,1-0320,0.00,Y,,0.00,0.00,,,,,,,
235,CITIMALL SUKABUMI,1,1-0330,0.00,Y,,0.00,0.00,,,,,,,
236,CITIMALL SUKABUMI,1,1-0340,34.96,Y,Full Rental,"180,000.00","102,000.00",19/Jan/2018,14/Mar/2023,15/Mar/2018,14/Mar/2023,19/Jan/2018,DAUKY,DAUKY
237,CITIMALL SUKABUMI,1,1-0350,0.00,Y,,0.00,0.00,,,,,,,
238,CITIMALL SUKABUMI,1,1-0360,32.63,Y,Full Rental,"180,000.00","102,000.00",06/Mar/2018,14/Apr/2023,15/Apr/2018,14/Apr/2023,06/Mar/2018,NISRINA,NIBRAS HOUSE
239,CITIMALL SUKABUMI,1,1-0365,4.00,Y,Full Rental,"90,000.00","51,000.00",06/Mar/2018,14/Apr/2023,15/Apr/2018,14/Apr/2023,06/Mar/2018,NISRINA,GUDANG NIBRAS HOUSE
240,CITIMALL SUKABUMI,1,1-0370,0.00,Y,,0.00,0.00,,,,,,,
241,CITIMALL SUKABUMI,1,1-0372,0.00,Y,,0.00,0.00,,,,,,,
242,CITIMALL SUKABUMI,1,1-0373,0.00,Y,,0.00,0.00,,,,,,,
243,CITIMALL SUKABUMI,1,1-0380,35.20,Y,,0.00,0.00,,,,,,,
244,CITIMALL SUKABUMI,1,1-0381,0.00,Y,,0.00,0.00,,,,,,,
245,CITIMALL SUKABUMI,1,1-0382,0.00,Y,,0.00,0.00,,,,,,,
246,CITIMALL SUKABUMI,1,1-0383,0.00,Y,,0.00,0.00,,,,,,,
247,CITIMALL SUKABUMI,1,1-0390,0.00,Y,,0.00,0.00,,,,,,,
248,CITIMALL SUKABUMI,1,1-0400,0.00,Y,,0.00,0.00,,,,,,,
249,CITIMALL SUKABUMI,1,1-0410,0.00,Y,,0.00,0.00,,,,,,,
250,CITIMALL SUKABUMI,1,1-0420,0.00,Y,,0.00,0.00,,,,,,,
251,CITIMALL SUKABUMI,1,1-0450,5.70,Y,,"473,684.56",0.00,,,,,,,
252,CITIMALL SUKABUMI,1,1-BAM01,29.15,N,,0.00,0.00,,,,,,,
253,CITIMALL SUKABUMI,1,1-BAM02,30.85,N,,0.00,0.00,,,,,,,
254,CITIMALL SUKABUMI,1,1-BOH01,24.00,N,,0.00,0.00,,,,,,,
255,CITIMALL SUKABUMI,1,1-BOH02,27.00,N,,0.00,0.00,,,,,,,
256,CITIMALL SUKABUMI,1,1-BOH03,33.00,N,,0.00,0.00,,,,,,,
257,CITIMALL SUKABUMI,1,1-BOH04,26.00,N,,0.00,0.00,,,,,,,
258,CITIMALL SUKABUMI,1,1-BOH05,73.56,N,,0.00,0.00,,,,,,,
259,CITIMALL SUKABUMI,1,1-BOH06,27.00,N,,0.00,0.00,,,,,,,
260,CITIMALL SUKABUMI,1,1-BOH07,54.83,N,,0.00,0.00,,,,,,,
261,CITIMALL SUKABUMI,1,1-COM,"1,956.83",N,,0.00,0.00,,,,,,,
262,CITIMALL SUKABUMI,1,1-CVT01,47.00,N,,0.00,0.00,,,,,,,
263,CITIMALL SUKABUMI,1,1-CVT02,47.00,N,,0.00,0.00,,,,,,,
264,CITIMALL SUKABUMI,1,1-CVT03,9.00,N,,0.00,0.00,,,,,,,
265,CITIMALL SUKABUMI,1,1-CVT04,12.00,N,,0.00,0.00,,,,,,,
266,CITIMALL SUKABUMI,1,1-MEP01,26.00,N,,0.00,0.00,,,,,,,
267,CITIMALL SUKABUMI,1,1-MEP02,23.00,N,,0.00,0.00,,,,,,,
268,CITIMALL SUKABUMI,1,1-MEP03,32.00,N,,0.00,0.00,,,,,,,
269,CITIMALL SUKABUMI,1,1-OFF01,0.00,N,,0.00,0.00,,,,,,,
270,CITIMALL SUKABUMI,1,1-OFF02,0.00,N,,0.00,0.00,,,,,,,
271,CITIMALL SUKABUMI,1,1-STI-0001,19.40,N,,0.00,0.00,,,,,,,
272,CITIMALL SUKABUMI,1,1-STI-0002,19.20,N,,0.00,0.00,,,,,,,
273,CITIMALL SUKABUMI,1,1-STI-0003,26.50,N,,0.00,0.00,,,,,,,
274,CITIMALL SUKABUMI,1,1-STI-0004,0.00,N,,0.00,0.00,,,,,,,
275,CITIMALL SUKABUMI,1,1-STI-0005,0.00,N,,0.00,0.00,,,,,,,
276,CITIMALL SUKABUMI,1,1-STI-0006,0.00,N,,0.00,0.00,,,,,,,
277,CITIMALL SUKABUMI,1,1-STI-0007,17.60,N,,0.00,0.00,,,,,,,
278,CITIMALL SUKABUMI,1,1-STI-0008,19.00,N,,0.00,0.00,,,,,,,
279,CITIMALL SUKABUMI,1,1-STI-0009,17.10,N,,0.00,0.00,,,,,,,
280,CITIMALL SUKABUMI,1,1-STI-0010,16.60,N,,0.00,0.00,,,,,,,
281,CITIMALL SUKABUMI,1,1-STI-0011,16.00,N,,0.00,0.00,,,,,,,
282,CITIMALL SUKABUMI,1,1-STI-0012,15.50,N,,0.00,0.00,,,,,,,
283,CITIMALL SUKABUMI,1,1-STI-0013,15.00,N,,0.00,0.00,,,,,,,
284,CITIMALL SUKABUMI,1,1-STI-0014,13.20,N,,0.00,0.00,,,,,,,
285,CITIMALL SUKABUMI,1,1-STI-0015,5.50,N,,0.00,0.00,,,,,,,
286,CITIMALL SUKABUMI,1,1-STI-0016,5.70,N,,0.00,0.00,,,,,,,
287,CITIMALL SUKABUMI,1,1-STI-0017,5.70,N,,0.00,0.00,,,,,,,
288,CITIMALL SUKABUMI,1,1-STI-0018,5.70,N,,0.00,0.00,,,,,,,
289,CITIMALL SUKABUMI,1,1-STI-0019,5.70,N,,0.00,0.00,,,,,,,
290,CITIMALL SUKABUMI,1,1-STI-0020,5.70,N,,0.00,0.00,,,,,,,
291,CITIMALL SUKABUMI,1,1-STI-0021,5.70,N,,0.00,0.00,,,,,,,
292,CITIMALL SUKABUMI,1,1-STI-0022,5.70,N,,0.00,0.00,,,,,,,
293,CITIMALL SUKABUMI,1,1-STI-0023,5.70,N,,0.00,0.00,,,,,,,
294,CITIMALL SUKABUMI,1,1-STI-0024,5.70,N,,0.00,0.00,,,,,,,
295,CITIMALL SUKABUMI,1,1-STI-0025,5.70,N,,0.00,0.00,,,,,,,
296,CITIMALL SUKABUMI,1,1-STI-0026,5.70,N,,0.00,0.00,,,,,,,
297,CITIMALL SUKABUMI,1,1-STI-0027,5.70,N,,0.00,0.00,,,,,,,
298,CITIMALL SUKABUMI,1,1-STI-0028,5.70,N,,0.00,0.00,,,,,,,
299,CITIMALL SUKABUMI,1,1-STI-0029,5.70,N,,0.00,0.00,,,,,,,
300,CITIMALL SUKABUMI,1,1-STI-0030,5.70,N,,0.00,0.00,,,,,,,
301,CITIMALL SUKABUMI,1,1-STI-0031,5.70,N,,0.00,0.00,,,,,,,
302,CITIMALL SUKABUMI,1,1-STI-0032,5.70,N,,0.00,0.00,,,,,,,
303,CITIMALL SUKABUMI,1,1-STI-0033,5.70,N,,0.00,0.00,,,,,,,
304,CITIMALL SUKABUMI,1,1-STI-0034,5.70,N,,0.00,0.00,,,,,,,
305,CITIMALL SUKABUMI,1,1-STI-0035,5.70,N,,0.00,0.00,,,,,,,
306,CITIMALL SUKABUMI,1,1-STI-0036,5.70,N,,0.00,0.00,,,,,,,
307,CITIMALL SUKABUMI,1,1-STI-0037,5.70,N,,0.00,0.00,,,,,,,
308,CITIMALL SUKABUMI,1,1-STI-0038,5.70,N,,0.00,0.00,,,,,,,
309,CITIMALL SUKABUMI,1,1-STI-0039,5.70,N,,0.00,0.00,,,,,,,
310,CITIMALL SUKABUMI,1,1-STI-0040,21.30,N,,0.00,0.00,,,,,,,
311,CITIMALL SUKABUMI,1,1-STI-0041,16.70,N,,0.00,0.00,,,,,,,
312,CITIMALL SUKABUMI,1,1-STI-0042,16.90,N,,0.00,0.00,,,,,,,
313,CITIMALL SUKABUMI,1,1-STI-0043,16.90,N,,0.00,0.00,,,,,,,
314,CITIMALL SUKABUMI,1,1-STI-0044,18.50,N,,0.00,0.00,,,,,,,
315,CITIMALL SUKABUMI,1,1-STI-0045,8.10,N,,0.00,0.00,,,,,,,
316,CITIMALL SUKABUMI,1,1-STI-0046,8.10,N,,0.00,0.00,,,,,,,
317,CITIMALL SUKABUMI,1,1-STI-0047,8.10,N,,0.00,0.00,,,,,,,
318,CITIMALL SUKABUMI,1,1-STI-0048,8.10,N,,0.00,0.00,,,,,,,
319,CITIMALL SUKABUMI,1,1-STI-0049,8.10,N,,0.00,0.00,,,,,,,
320,CITIMALL SUKABUMI,1,1-STI-0050,8.10,N,,0.00,0.00,,,,,,,
321,CITIMALL SUKABUMI,1,1-STI-0051,14.00,N,,0.00,0.00,,,,,,,
322,CITIMALL SUKABUMI,1,1-STI-0052,14.50,N,,0.00,0.00,,,,,,,
323,CITIMALL SUKABUMI,1,1-STI-0053,0.00,N,,0.00,0.00,,,,,,,
324,CITIMALL SUKABUMI,1,1-STI-0054,0.00,N,,0.00,0.00,,,,,,,
325,CITIMALL SUKABUMI,1,1-STI-0055,8.10,N,,0.00,0.00,,,,,,,
326,CITIMALL SUKABUMI,1,1-STI-0056,8.10,N,,0.00,0.00,,,,,,,
327,CITIMALL SUKABUMI,RF,RF-WIR01,1.00,N,Full Rental,"7,500,000.00",0.00,01/Jun/2016,31/May/2021,01/Jun/2016,31/May/2021,01/Jun/2016,BTS XL,BTS XL
328,CITIMALL SUKABUMI,RF,RF-WIR02,1.00,N,Full Rental,"7,916,666.66",0.00,01/May/2018,30/Apr/2023,01/May/2018,30/Apr/2023,01/May/2018,BTS VIOLET,BTS VIOLET
329,CITIMALL SUKABUMI,RF,RF-WIR03,1.00,N,Full Rental,"15,833,333.33",0.00,01/Jul/2017,30/Jun/2022,01/Jul/2017,30/Jun/2022,01/Jul/2017,INDOSAT,INDOSAT
330,CITIMALL SUKABUMI,RF,RF-WIR04,2.00,N,Full Rental,"2,500,000.00",0.00,01/Aug/2019,31/Jul/2024,01/Aug/2019,31/Jul/2024,01/Aug/2019,BTS VIOLET H31 (TRI),BTS 3
331,CITIMALL SUKABUMI,2,2-0010,"3,185.17",Y,Full Rental,"40,000.00","20,630.00",19/Dec/2018,18/Dec/2028,19/Dec/2018,18/Dec/2028,19/Dec/2018,"PT. MATAHARI DEPARTMENT STORE, TBK",MATAHARI DEPARTMENT STORE
332,CITIMALL SUKABUMI,2,2-0020,285.00,Y,Full Rental,"120,000.00","49,280.00",01/Jul/2018,30/Jun/2023,01/Jul/2018,30/Jun/2023,01/Jul/2018,NELIE KRISEN,DINO PARK
333,CITIMALL SUKABUMI,2,2-0030,195.35,Y,Full Rental,"115,000.00","102,000.00",25/Feb/2019,28/Mar/2024,29/Mar/2019,28/Mar/2024,25/Feb/2019,SPORT STATION,SPORTS STATION
334,CITIMALL SUKABUMI,2,2-0040,490.04,Y,Full Rental,"90,000.00","102,000.00",14/Aug/2018,26/Sep/2023,27/Sep/2018,26/Sep/2023,14/Aug/2018,FUN CITY,FUN CITY
335,CITIMALL SUKABUMI,2,2-0050,0.00,Y,,0.00,0.00,,,,,,,
336,CITIMALL SUKABUMI,2,2-0060,0.00,Y,,0.00,0.00,,,,,,,
337,CITIMALL SUKABUMI,2,2-0070,0.00,Y,,0.00,0.00,,,,,,,
338,CITIMALL SUKABUMI,2,2-0080,0.00,Y,,0.00,0.00,,,,,,,
339,CITIMALL SUKABUMI,2,2-0085,140.06,Y,Full Rental,"120,000.00","49,280.00",26/Mar/2019,31/Jul/2023,31/Mar/2019,31/Jul/2023,26/Mar/2019,NELIE KRISEN,DINO PARK
340,CITIMALL SUKABUMI,2,2-0090,0.00,Y,,0.00,0.00,,,,,,,
341,CITIMALL SUKABUMI,2,2-0100,0.00,Y,,0.00,0.00,,,,,,,
342,CITIMALL SUKABUMI,2,2-0110,0.00,Y,,0.00,0.00,,,,,,,
343,CITIMALL SUKABUMI,2,2-0120,26.58,Y,Full Rental,"100,000.00","44,000.00",31/Mar/2019,11/May/2024,12/May/2019,11/May/2024,31/Mar/2019,YOPIE SALON,YOPIE SALON
344,CITIMALL SUKABUMI,2,2-0130,0.00,Y,,0.00,0.00,,,,,,,
345,CITIMALL SUKABUMI,2,2-0140,0.00,Y,,0.00,0.00,,,,,,,
346,CITIMALL SUKABUMI,2,2-0150,0.00,Y,,0.00,0.00,,,,,,,
347,CITIMALL SUKABUMI,2,2-0155,0.00,Y,,0.00,0.00,,,,,,,
348,CITIMALL SUKABUMI,2,2-0160,0.00,Y,,0.00,0.00,,,,,,,
349,CITIMALL SUKABUMI,2,2-0165,0.00,Y,,0.00,0.00,,,,,,,
350,CITIMALL SUKABUMI,2,2-0170,0.00,Y,,0.00,0.00,,,,,,,
351,CITIMALL SUKABUMI,2,2-0175,0.00,Y,,0.00,0.00,,,,,,,
352,CITIMALL SUKABUMI,2,2-0180,0.00,Y,,0.00,0.00,,,,,,,
353,CITIMALL SUKABUMI,2,2-0190,11.00,Y,Full Rental,"523,895.09",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,AYAM BAKAR PENYET SUKABUMI & CHINESE FOOD ,AYAM BAKAR PENYET SUKABUMI & CHINESE FOOD
354,CITIMALL SUKABUMI,2,2-0200,11.00,Y,,0.00,0.00,,,,,,,
355,CITIMALL SUKABUMI,2,2-0210,11.00,Y,,0.00,0.00,,,,,,,
356,CITIMALL SUKABUMI,2,2-0220,11.00,Y,,0.00,0.00,,,,,,,
357,CITIMALL SUKABUMI,2,2-0230,11.00,Y,,0.00,0.00,,,,,,,
358,CITIMALL SUKABUMI,2,2-0240,11.00,Y,,0.00,0.00,,,,,,,
359,CITIMALL SUKABUMI,2,2-0250,11.00,Y,Full Rental,"523,895.09",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,UNI PADANG,UNI PADANG
360,CITIMALL SUKABUMI,2,2-0260,0.00,Y,,0.00,0.00,,,,,,,
361,CITIMALL SUKABUMI,2,2-0270,0.00,Y,,0.00,0.00,,,,,,,
362,CITIMALL SUKABUMI,2,2-0280,0.00,Y,,0.00,0.00,,,,,,,
363,CITIMALL SUKABUMI,2,2-0290,9.00,Y,Full Rental,"707,070.70",0.00,01/Oct/2019,30/Sep/2020,01/Oct/2019,30/Sep/2020,01/Oct/2019,ICE CREAM CAMPINA,ICE CREAM CAMPINA
364,CITIMALL SUKABUMI,2,2-BAM01,32.46,N,,0.00,0.00,,,,,,,
365,CITIMALL SUKABUMI,2,2-BAM02,13.53,N,,0.00,0.00,,,,,,,
366,CITIMALL SUKABUMI,2,2-BOH01,24.00,N,,0.00,0.00,,,,,,,
367,CITIMALL SUKABUMI,2,2-BOH02,27.00,N,,0.00,0.00,,,,,,,
368,CITIMALL SUKABUMI,2,2-BOH03,33.00,N,,0.00,0.00,,,,,,,
369,CITIMALL SUKABUMI,2,2-BOH04,26.00,N,,0.00,0.00,,,,,,,
370,CITIMALL SUKABUMI,2,2-BOH05,25.00,N,,0.00,0.00,,,,,,,
371,CITIMALL SUKABUMI,2,2-BOH06,27.00,N,,0.00,0.00,,,,,,,
372,CITIMALL SUKABUMI,2,2-COM,870.01,N,,0.00,0.00,,,,,,,
373,CITIMALL SUKABUMI,2,2-CVT01,12.00,N,,0.00,0.00,,,,,,,
374,CITIMALL SUKABUMI,2,2-CVT02,39.00,N,,0.00,0.00,,,,,,,
375,CITIMALL SUKABUMI,2,2-CVT03,47.00,N,,0.00,0.00,,,,,,,
376,CITIMALL SUKABUMI,2,2-CVT04,9.00,N,,0.00,0.00,,,,,,,
377,CITIMALL SUKABUMI,2,2-MEP01,26.00,N,,0.00,0.00,,,,,,,
378,CITIMALL SUKABUMI,2,2-MEP02,23.00,N,,0.00,0.00,,,,,,,
379,CITIMALL SUKABUMI,2,2-MEP03,32.00,N,,0.00,0.00,,,,,,,
380,CITIMALL SUKABUMI,2,2-OFF01,0.00,N,,0.00,0.00,,,,,,,
381,CITIMALL SUKABUMI,2,2-OFF02,0.00,N,,0.00,0.00,,,,,,,
382,CITIMALL SUKABUMI,2,2-OFF03,0.00,N,,0.00,0.00,,,,,,,
